Ticker,Company,Type,Flag
PNC,"PNC FINL SVCS GRP,INC(THE)",EQUITY D PENNIES TO 3.00,0
POT,POTASH CORP SASKATCHEWAN,EQUITY D PENNIES TO 3.00,0
PRU,PRUDENTIAL FINANCIAL INC.,EQUITY D PENNIES TO 3.00,0
QCOM,QUALCOMM INC,EQUITY D PENNIES TO 3.00,0
QID,ProShares ULTRASHORT QQQ,EQUITY D PENNIES TO 3.00,0
QLD,PROSHARES  ULTRA QQQ,EQUITY D PENNIES TO 3.00,0
QQQ,"PowerShares QQQ Trust, Series 1",EQUITY D PENNIES ALL,0
RAD,RITE AID CORPORATION,EQUITY D PENNIES TO 3.00,0
RCL,ROYAL CARIBBEAN CRUISES LTD,EQUITY D PENNIES TO 3.00,0
RF,REGIONS FINANCIAL CORP (NEW),EQUITY D PENNIES TO 3.00,0
RIG,Transocean Ltd.,EQUITY D PENNIES TO 3.00,0
RMBS,RAMBUS INC (DE),EQUITY D PENNIES TO 3.00,0
RSX,Market Vectors Russia ETF,EQUITY D PENNIES TO 3.00,0
RTN,RAYTHEON CO. (NEW),EQUITY D PENNIES TO 3.00,0
S,Sprint Corporation,EQUITY D PENNIES TO 3.00,0
SBUX,STARBUCKS CORPORATION,EQUITY D PENNIES TO 3.00,0
SCTY,Solarcity Corporation,EQUITY D PENNIES TO 3.00,0
SD,"Sandridge Energy, Inc.",EQUITY D PENNIES TO 3.00,0
SDS,PROSHARES TR ULTRASHORT S&P 500,EQUITY D PENNIES TO 3.00,0
SEED,Origin Agritech Ltd.,EQUITY D PENNIES TO 3.00,0
SHLD,SEARS HOLDINGS  CORP,EQUITY D PENNIES TO 3.00,0
SINA,SINA CORPORATION,EQUITY D PENNIES TO 3.00,0
SIRI,Sirius XM Holdings Inc.,EQUITY D PENNIES TO 3.00,0
SKF,Proshares UltraShort Financials,EQUITY D PENNIES TO 3.00,0
SLB,SCHLUMBERGER LTD,EQUITY D PENNIES TO 3.00,0
SLM,SLM CORPORATION VOTING COM,EQUITY D PENNIES TO 3.00,0
SLV,ISHARES SILVER TRUST,EQUITY D PENNIES TO 3.00,0
SLW,SILVER WHEATON CORP,EQUITY D PENNIES TO 3.00,0
SNDK,SANDISK CORP,EQUITY D PENNIES TO 3.00,0
SO,SOUTHERN CO,EQUITY D PENNIES TO 3.00,0
SPG,SIMON PROPERTIES GROUP INC,EQUITY D PENNIES TO 3.00,0
SPWR,SUNPOWER CORPORATION,EQUITY D PENNIES TO 3.00,0
SPY,S&P DEPOSITORY RECEIPTS (SPDRS),EQUITY D PENNIES ALL,0
SQNM,"Sequenom, Inc.",EQUITY D PENNIES TO 3.00,0
SRS,ProShares UltraShort Real Estate,EQUITY D PENNIES TO 3.00,0
SSO,ProShares Ultra S&P 500,EQUITY D PENNIES TO 3.00,0
STI,SUNTRUST BANKS INC,EQUITY D PENNIES TO 3.00,0
STT,STATE STREET CORP,EQUITY D PENNIES TO 3.00,0
STX,SEAGATE TECHNOLOGY,EQUITY D PENNIES TO 3.00,0
SU,SUNCOR ENERGY INC,EQUITY D PENNIES TO 3.00,0
SUNE,"SunEdison, Inc.",EQUITY D PENNIES TO 3.00,0
SWN,SOUTHWESTERN ENERGY CO (DELAWARE),EQUITY D PENNIES TO 3.00,0
SYMC,SYMANTEC CORP,EQUITY D PENNIES TO 3.00,0
T,AT&T INC. COM,EQUITY D PENNIES TO 3.00,0
